Label Number,Duration,Importance,Start Time,Date
4,90,2,12:45,26/06/2023
1,30,1,14:15,26/06/2023
6,30,0,15:00,26/06/2023
0,60,2,15:30,26/06/2023
2,90,1,16:45,26/06/2023
4,75,3,18:15,26/06/2023
1,30,1,19:30,26/06/2023
6,45,0,20:15,26/06/2023
3,45,1,21:00,26/06/2023
5,90,2,22:00,26/06/2023
0,45,1,23:45,26/06/2023
2,75,1,6:15,27/06/2023
4,90,2,7:30,27/06/2023
1,30,1,9:00,27/06/2023
6,30,0,9:45,27/06/2023
3,45,1,10:15,27/06/2023
5,120,3,11:00,27/06/2023
0,60,2,13:00,27/06/2023
2,90,1,14:00,27/06/2023
4,75,3,15:30,27/06/2023
1,30,1,16:45,27/06/2023
6,45,0,17:30,27/06/2023
3,45,1,18:15,27/06/2023
5,90,2,19:00,27/06/2023
0,45,1,20:45,27/06/2023
2,90,1,22:30,27/06/2023
4,60,2,6:15,28/06/2023
1,30,1,7:15,28/06/2023
6,45,0,8:00,28/06/2023
3,45,1,8:45,28/06/2023
5,120,3,9:45,28/06/2023
0,60,2,11:45,28/06/2023
2,90,1,12:45,28/06/2023
4,75,3,14:15,28/06/2023
1,30,1,15:30,28/06/2023
6,30,0,16:15,28/06/2023
3,45,1,16:45,28/06/2023
5,90,2,17:30,28/06/2023
0,45,1,19:15,28/06/2023
2,75,1,20:00,28/06/2023
4,90,2,21:15,28/06/2023
1,30,1,22:45,28/06/2023
6,45,0,23:30,28/06/2023
3,45,1,6:15,29/06/2023
5,90,2,7:00,29/06/2023
0,45,1,8:45,29/06/2023
2,90,1,9:30,29/06/2023
4,60,2,11:15,29/06/2023
1,30,1,12:15,29/06/2023
6,45,0,12:45,29/06/2023
3,45,1,13:30,29/06/2023
5,120,3,14:30,29/06/2023
0,60,2,16:30,29/06/2023
2,90,1,17:30,29/06/2023
4,75,3,19:00,29/06/2023
1,30,1,20:15,29/06/2023
6,45,0,21:00,29/06/2023
3,45,1,21:45,29/06/2023
5,90,2,22:45,29/06/2023
0,45,1,6:15,30/06/2023
2,75,1,7:00,30/06/2023
4,90,2,8:15,30/06/2023
1,30,1,9:45,30/06/2023
6,30,0,10:30,30/06/2023
3,45,1,11:00,30/06/2023
5,90,2,11:45,30/06/2023
0,45,1,13:30,30/06/2023
2,75,1,14:15,30/06/2023
4,90,2,15:30,30/06/2023
1,30,1,16:45,30/06/2023
6,45,0,17:30,30/06/2023
3,45,1,18:15,30/06/2023
5,120,3,19:15,30/06/2023
0,60,2,21:15,30/06/2023
2,90,1,22:15,30/06/2023
4,75,3,6:15,01/07/2023
1,30,1,7:30,01/07/2023
6,45,0,8:15,01/07/2023
3,45,1,9:00,01/07/2023
5,90,2,10:00,01/07/2023
0,45,1,11:45,01/07/2023
2,75,1,12:30,01/07/2023
4,90,2,13:45,01/07/2023
1,30,1,15:15,01/07/2023
6,30,0,16:00,01/07/2023
3,45,1,16:30,01/07/2023
5,90,2,17:00,01/07/2023
0,45,1,18:45,01/07/2023
2,75,1,19:30,01/07/2023
4,90,2,20:45,01/07/2023
1,30,1,22:15,01/07/2023
6,45,0,23:00,01/07/2023
3,45,1,6:00,02/07/2023
5,90,2,6:45,02/07/2023
0,45,1,8:30,02/07/2023
2,75,1,9:15,02/07/2023
4,90,2,10:30,02/07/2023
1,30,1,11:45,02/07/2023
6,45,0,12:30,02/07/2023
3,45,1,13:15,02/07/2023
5,120,3,14:15,02/07/2023
0,60,2,16:15,02/07/2023
2,90,1,17:15,02/07/2023
4,75,3,18:45,02/07/2023
1,30,1,20:00,02/07/2023
6,30,0,20:45,02/07/2023
3,45,1,21:15,02/07/2023
5,90,2,22:00,02/07/2023
0,45,1,23:45,02/07/2023
2,75,1,6:00,03/07/2023
4,90,2,7:15,03/07/2023
1,30,1,8:45,03/07/2023
6,45,0,9:30,03/07/2023
3,45,1,10:15,03/07/2023
5,120,3,11:15,03/07/2023
0,60,2,13:15,03/07/2023
2,90,1,14:15,03/07/2023
4,75,3,15:45,03/07/2023
1,30,1,17:00,03/07/2023
6,45,0,17:45,03/07/2023
3,45,1,18:30,03/07/2023
5,90,2,19:00,03/07/2023
0,45,1,20:45,03/07/2023
2,75,1,22:30,03/07/2023
4,90,2,7:00,04/07/2023
1,30,1,8:00,04/07/2023
6,45,0,8:45,04/07/2023
3,45,1,9:30,04/07/2023
5,120,3,10:30,04/07/2023
0,60,2,12:30,04/07/2023
2,90,1,13:30,04/07/2023
4,75,3,15:00,04/07/2023
1,30,1,16:15,04/07/2023
6,30,0,17:00,04/07/2023
3,45,1,17:30,04/07/2023
5,90,2,18:15,04/07/2023
0,45,1,20:00,04/07/2023
2,75,1,20:45,04/07/2023
4,90,2,22:00,04/07/2023
1,30,1,23:30,04/07/2023
6,45,0,7:00,05/07/2023
3,45,1,7:45,05/07/2023
5,90,2,8:45,05/07/2023
0,45,1,10:30,05/07/2023
2,75,1,11:15,05/07/2023
4,90,2,12:30,05/07/2023
1,30,1,13:45,05/07/2023
6,30,0,14:30,05/07/2023
3,45,1,15:00,05/07/2023
5,120,3,16:00,05/07/2023
0,60,2,18:00,05/07/2023
2,90,1,19:00,05/07/2023
4,75,3,20:30,05/07/2023
1,30,1,21:45,05/07/2023
6,45,0,22:30,05/07/2023
3,45,1,23:15,05/07/2023
5,90,2,7:00,06/07/2023
0,45,1,7:45,06/07/2023
2,75,1,9:00,06/07/2023
4,90,2,10:15,06/07/2023
1,30,1,11:45,06/07/2023
6,45,0,12:30,06/07/2023
3,45,1,13:15,06/07/2023
5,120,3,14:15,06/07/2023
0,60,2,16:15,06/07/2023
2,90,1,17:15,06/07/2023
4,75,3,18:45,06/07/2023
1,30,1,20:00,06/07/2023
3,45,1,7:30,06/07/2023
5,90,2,8:15,06/07/2023
0,45,1,9:00,06/07/2023
2,75,1,19:00,06/07/2023
4,90,2,20:15,06/07/2023
1,30,1,21:45,06/07/2023
6,45,0,22:30,06/07/2023
3,45,1,23:15,06/07/2023
5,90,2,7:15,07/07/2023
0,45,1,8:00,07/07/2023
2,75,1,8:45,07/07/2023
4,90,2,9:30,07/07/2023
1,30,1,10:45,07/07/2023
6,45,0,11:30,07/07/2023
3,45,1,12:15,07/07/2023
5,120,3,13:15,07/07/2023
0,60,2,15:15,07/07/2023
2,90,1,16:15,07/07/2023
4,75,3,17:45,07/07/2023
1,30,1,19:00,07/07/2023
6,30,0,19:45,07/07/2023
3,45,1,20:15,07/07/2023
5,90,2,21:00,07/07/2023
0,45,1,22:45,07/07/2023
2,75,1,7:30,08/07/2023
4,90,2,8:45,08/07/2023
1,30,1,9:30,08/07/2023
6,45,0,10:15,08/07/2023
3,45,1,11:00,08/07/2023
5,120,3,12:00,08/07/2023
0,60,2,14:00,08/07/2023
2,90,1,15:00,08/07/2023
4,75,3,16:30,08/07/2023
1,30,1,17:45,08/07/2023
6,45,0,18:30,08/07/2023
3,45,1,19:15,08/07/2023
5,90,2,20:00,08/07/2023
0,45,1,21:45,08/07/2023
2,75,1,22:30,08/07/2023
4,90,2,7:15,09/07/2023
1,30,1,8:30,09/07/2023
6,45,0,9:15,09/07/2023
3,45,1,10:00,09/07/2023
5,90,2,11:00,09/07/2023
0,45,1,12:45,09/07/2023
2,75,1,13:30,09/07/2023
4,90,2,14:45,09/07/2023
1,30,1,16:00,09/07/2023
6,30,0,16:45,09/07/2023
3,45,1,17:15,09/07/2023
5,90,2,18:00,09/07/2023
0,45,1,19:45,09/07/2023
2,75,1,20:30,09/07/2023
4,90,2,21:45,09/07/2023
1,30,1,22:45,09/07/2023
6,45,0,7:30,10/07/2023
3,45,1,8:15,10/07/2023
5,90,2,9:00,10/07/2023
0,45,1,19:00,10/07/2023
2,75,1,20:15,10/07/2023
4,90,2,21:45,10/07/2023
1,30,1,22:30,10/07/2023
6,45,0,23:15,10/07/2023
3,45,1,7:45,11/07/2023
5,90,2,8:30,11/07/2023
0,45,1,9:15,11/07/2023
2,75,1,10:00,11/07/2023
4,90,2,11:15,11/07/2023
1,30,1,12:30,11/07/2023
6,30,0,13:15,11/07/2023
3,45,1,13:45,11/07/2023
5,120,3,14:45,11/07/2023
0,60,2,16:45,11/07/2023
2,90,1,17:45,11/07/2023
4,75,3,19:15,11/07/2023
1,30,1,20:30,11/07/2023
6,45,0,21:15,11/07/2023
3,45,1,22:00,11/07/2023
5,90,2,7:30,12/07/2023
0,45,1,8:15,12/07/2023
2,75,1,9:00,12/07/2023
4,90,2,10:15,12/07/2023
1,30,1,11:30,12/07/2023
6,45,0,12:15,12/07/2023
3,45,1,13:00,12/07/2023
5,120,3,14:00,12/07/2023
0,60,2,16:00,12/07/2023
2,90,1,17:00,12/07/2023
4,75,3,18:30,12/07/2023
1,30,1,19:45,12/07/2023
6,45,0,20:30,12/07/2023
3,45,1,21:15,12/07/2023
5,90,2,22:00,12/07/2023
0,45,1,7:45,13/07/2023
2,75,1,8:30,13/07/2023
4,90,2,9:45,13/07/2023
1,30,1,11:00,13/07/2023
6,30,0,11:45,13/07/2023
3,45,1,12:15,13/07/2023
5,90,2,13:00,13/07/2023
0,45,1,14:45,13/07/2023
2,75,1,15:30,13/07/2023
4,90,2,16:45,13/07/2023
1,30,1,18:00,13/07/2023
6,45,0,18:45,13/07/2023
3,45,1,19:30,13/07/2023
5,90,2,20:15,13/07/2023
0,45,1,21:00,13/07/2023
2,75,1,7:45,14/07/2023
4,90,2,9:00,14/07/2023
1,30,1,9:45,14/07/2023
6,45,0,10:30,14/07/2023
3,45,1,11:15,14/07/2023
5,120,3,12:15,14/07/2023
0,60,2,14:15,14/07/2023
2,90,1,15:15,14/07/2023
4,75,3,16:45,14/07/2023
1,30,1,18:00,14/07/2023
6,45,0,18:45,14/07/2023
3,45,1,19:30,14/07/2023
5,90,2,20:15,14/07/2023
0,45,1,21:00,14/07/2023
2,75,1,7:45,15/07/2023
4,90,2,9:00,15/07/2023
1,30,1,9:45,15/07/2023
6,45,0,10:30,15/07/2023
3,45,1,11:15,15/07/2023
5,120,3,12:15,15/07/2023
0,60,2,14:15,15/07/2023
2,90,1,15:15,15/07/2023
4,75,3,16:45,15/07/2023
1,30,1,18:00,15/07/2023
6,45,0,18:45,15/07/2023
3,45,1,19:30,15/07/2023
5,90,2,20:15,15/07/2023
0,45,1,21:00,15/07/2023
2,75,1,7:45,16/07/2023
4,90,2,9:00,16/07/2023
1,30,1,9:45,16/07/2023
6,45,0,10:30,16/07/2023
3,45,1,11:15,16/07/2023
5,120,3,12:15,16/07/2023
0,60,2,14:15,16/07/2023
2,90,1,15:15,16/07/2023
4,75,3,16:45,16/07/2023
1,30,1,18:00,16/07/2023
6,45,0,18:45,16/07/2023
3,45,1,19:30,16/07/2023
5,90,2,20:15,16/07/2023
0,45,1,21:00,16/07/2023
2,75,1,7:45,17/07/2023
4,90,2,9:00,17/07/2023
1,30,1,9:45,17/07/2023
6,45,0,10:30,17/07/2023
3,45,1,11:15,17/07/2023
5,120,3,12:15,17/07/2023
0,60,2,14:15,17/07/2023
2,90,1,15:15,17/07/2023
4,75,3,16:45,17/07/2023
1,30,1,18:00,17/07/2023
6,45,0,18:45,17/07/2023
3,45,1,19:30,17/07/2023
5,90,2,20:15,17/07/2023
0,45,1,21:00,17/07/2023
2,75,1,7:30,18/07/2023
4,90,2,8:45,18/07/2023
1,30,1,10:00,18/07/2023
6,45,0,10:45,18/07/2023
3,45,1,11:30,18/07/2023
5,90,2,12:15,18/07/2023
0,45,1,13:00,18/07/2023
2,75,1,14:15,18/07/2023
4,90,2,15:30,18/07/2023
1,30,1,16:45,18/07/2023
6,45,0,17:30,18/07/2023
3,45,1,18:15,18/07/2023
5,90,2,19:00,18/07/2023
0,45,1,19:45,18/07/2023
2,75,1,7:30,19/07/2023
4,90,2,8:45,19/07/2023
1,30,1,10:00,19/07/2023
6,45,0,10:45,19/07/2023
3,45,1,11:30,19/07/2023
5,90,2,12:15,19/07/2023
0,45,1,13:00,19/07/2023
2,75,1,14:15,19/07/2023
4,90,2,15:30,19/07/2023
1,30,1,16:45,19/07/2023
6,45,0,17:30,19/07/2023
3,45,1,18:15,19/07/2023
5,90,2,19:00,19/07/2023
0,45,1,19:45,19/07/2023
2,75,1,7:30,20/07/2023
4,90,2,8:45,20/07/2023
1,30,1,10:00,20/07/2023
6,45,0,10:45,20/07/2023
3,45,1,11:30,20/07/2023
5,90,2,12:15,20/07/2023
0,45,1,13:00,20/07/2023
2,75,1,14:15,20/07/2023
4,90,2,15:30,20/07/2023
1,30,1,16:45,20/07/2023
6,45,0,17:30,20/07/2023
3,45,1,18:15,20/07/2023
5,90,2,19:00,20/07/2023
0,45,1,19:45,20/07/2023
2,75,1,7:30,21/07/2023
4,90,2,8:45,21/07/2023
1,30,1,10:00,21/07/2023
6,45,0,10:45,21/07/2023
3,45,1,11:30,21/07/2023
5,90,2,12:15,21/07/2023
0,45,1,13:00,21/07/2023
2,75,1,14:15,21/07/2023
4,90,2,15:30,21/07/2023
1,30,1,16:45,21/07/2023
6,45,0,17:30,21/07/2023
3,45,1,18:15,21/07/2023
5,90,2,19:00,21/07/2023
0,45,1,19:45,21/07/2023
2,75,1,7:30,22/07/2023
4,90,2,8:45,22/07/2023
1,30,1,10:00,22/07/2023
6,45,0,10:45,22/07/2023
3,45,1,11:30,22/07/2023
5,90,2,12:15,22/07/2023
0,45,1,13:00,22/07/2023
2,75,1,14:15,22/07/2023
4,90,2,15:30,22/07/2023
1,30,1,16:45,22/07/2023
6,45,0,17:30,22/07/2023
3,45,1,18:15,22/07/2023
5,90,2,19:00,22/07/2023
0,45,1,19:45,22/07/2023
3,45,1,20:30,22/07/2023
5,90,2,21:15,22/07/2023
0,45,1,22:00,22/07/2023
2,75,1,6:45,23/07/2023
4,90,2,8:00,23/07/2023
1,30,1,8:45,23/07/2023
6,45,0,9:30,23/07/2023
3,45,1,10:15,23/07/2023
5,120,3,11:15,23/07/2023
0,60,2,13:15,23/07/2023
2,90,1,14:15,23/07/2023
4,75,3,15:45,23/07/2023
1,30,1,17:00,23/07/2023
6,45,0,17:45,23/07/2023
3,45,1,18:30,23/07/2023
5,90,2,19:15,23/07/2023
0,45,1,20:00,23/07/2023
2,75,1,6:00,24/07/2023
4,90,2,7:15,24/07/2023
1,30,1,8:30,24/07/2023
6,45,0,9:15,24/07/2023
3,45,1,10:00,24/07/2023
5,120,3,11:00,24/07/2023
0,60,2,13:00,24/07/2023
2,90,1,14:00,24/07/2023
4,75,3,15:30,24/07/2023
1,30,1,16:45,24/07/2023
6,45,0,17:30,24/07/2023
3,45,1,18:15,24/07/2023
5,90,2,19:00,24/07/2023
0,45,1,19:45,24/07/2023
2,75,1,6:00,25/07/2023
4,90,2,7:15,25/07/2023
1,30,1,8:30,25/07/2023
6,45,0,9:15,25/07/2023
3,45,1,10:00,25/07/2023
5,120,3,11:00,25/07/2023
0,60,2,13:00,25/07/2023
2,90,1,14:00,25/07/2023
4,75,3,15:30,25/07/2023
1,30,1,16:45,25/07/2023
6,45,0,17:30,25/07/2023
3,45,1,18:15,25/07/2023
5,90,2,19:00,25/07/2023
0,45,1,19:45,25/07/2023
2,75,1,6:00,26/07/2023
4,90,2,7:15,26/07/2023
1,30,1,8:30,26/07/2023
6,45,0,9:15,26/07/2023
3,45,1,10:00,26/07/2023
5,120,3,11:00,26/07/2023
0,60,2,13:00,26/07/2023
2,90,1,14:00,26/07/2023
4,75,3,15:30,26/07/2023
1,30,1,16:45,26/07/2023
6,45,0,17:30,26/07/2023
3,45,1,18:15,26/07/2023
5,90,2,19:00,26/07/2023
0,45,1,19:45,26/07/2023
2,75,1,6:00,27/07/2023
4,90,2,7:15,27/07/2023
1,30,1,8:30,27/07/2023
6,45,0,9:15,27/07/2023
3,45,1,10:00,27/07/2023
5,120,3,11:00,27/07/2023
0,60,2,13:00,27/07/2023
2,90,1,14:00,27/07/2023
4,75,3,15:30,27/07/2023
1,30,1,16:45,27/07/2023
6,45,0,17:30,27/07/2023
3,45,1,18:15,27/07/2023
5,90,2,19:00,27/07/2023
0,45,1,19:45,27/07/2023
2,75,1,6:00,28/07/2023
4,90,2,7:15,28/07/2023
1,30,1,8:30,28/07/2023
6,45,0,9:15,28/07/2023
3,45,1,10:00,28/07/2023
5,120,3,11:00,28/07/2023
0,60,2,13:00,28/07/2023
2,90,1,2:00,29/07/2023
4,75,3,3:30,29/07/2023
1,30,1,4:45,29/07/2023
6,45,0,5:30,29/07/2023
3,45,1,6:15,29/07/2023
5,90,2,7:00,29/07/2023
0,45,1,7:45,29/07/2023
2,75,1,6:00,30/07/2023
4,90,2,7:15,30/07/2023
1,30,1,8:30,30/07/2023
6,45,0,9:15,30/07/2023
3,45,1,10:00,30/07/2023
5,120,3,11:00,30/07/2023
0,60,2,13:00,30/07/2023
2,90,1,14:00,30/07/2023
4,75,3,15:30,30/07/2023
1,30,1,16:45,30/07/2023
6,45,0,17:30,30/07/2023
3,45,1,18:15,30/07/2023
5,90,2,19:00,30/07/2023
0,45,1,20:00,30/07/2023
2,75,1,6:00,31/07/2023
4,90,2,7:15,31/07/2023
1,30,1,8:30,31/07/2023
6,45,0,9:15,31/07/2023
3,45,1,10:00,31/07/2023
5,120,3,11:00,31/07/2023
0,60,2,13:00,31/07/2023
2,90,1,14:00,31/07/2023
4,75,3,15:30,31/07/2023
1,30,1,16:45,31/07/2023
6,45,0,17:30,31/07/2023
3,45,1,18:15,31/07/2023
5,90,2,19:00,31/07/2023
0,45,1,19:45,31/07/2023
2,75,1,6:00,01/08/2023
4,90,2,7:15,01/08/2023
1,30,1,8:30,01/08/2023
6,45,0,9:15,01/08/2023
3,45,1,10:00,01/08/2023
5,120,3,11:00,01/08/2023
0,60,2,13:00,01/08/2023
2,90,1,14:00,01/08/2023
4,75,3,15:30,01/08/2023
1,30,1,16:45,01/08/2023
6,45,0,17:30,01/08/2023
3,45,1,18:15,01/08/2023
5,90,2,19:00,01/08/2023
0,45,1,19:45,01/08/2023
2,75,1,6:00,02/08/2023
4,90,2,7:15,02/08/2023
1,30,1,8:30,02/08/2023
6,45,0,9:15,02/08/2023
3,45,1,10:00,02/08/2023
5,120,3,11:00,02/08/2023
0,60,2,13:00,02/08/2023
2,90,1,14:00,02/08/2023
4,75,3,15:30,02/08/2023
1,30,1,16:45,02/08/2023
6,45,0,17:30,02/08/2023
3,45,1,18:15,02/08/2023
5,90,2,19:00,02/08/2023
0,45,1,19:45,02/08/2023
2,75,1,6:00,03/08/2023
4,90,2,7:15,03/08/2023
1,30,1,8:30,03/08/2023
6,45,0,9:15,03/08/2023
3,45,1,10:00,03/08/2023
5,120,3,11:00,03/08/2023
0,60,2,13:00,03/08/2023
2,90,1,14:00,03/08/2023
4,75,3,15:30,03/08/2023
1,30,1,16:45,03/08/2023
6,45,0,17:30,03/08/2023
3,45,1,18:15,03/08/2023
5,90,2,19:00,03/08/2023
0,45,1,19:45,03/08/2023
2,75,1,6:00,07/08/2023
4,90,2,7:15,07/08/2023
1,30,1,8:30,07/08/2023
6,45,0,9:15,07/08/2023
3,45,1,10:00,07/08/2023
5,120,3,11:00,07/08/2023
0,60,2,13:00,07/08/2023
2,90,1,2:00,08/08/2023
4,75,3,3:30,08/08/2023
1,30,1,4:45,08/08/2023
6,45,0,5:30,08/08/2023
3,45,1,6:15,08/08/2023
5,90,2,7:00,08/08/2023
0,45,1,7:45,08/08/2023
2,75,1,6:00,09/08/2023
4,90,2,7:15,09/08/2023
1,30,1,8:30,09/08/2023
6,45,0,9:15,09/08/2023
3,45,1,10:00,09/08/2023
5,120,3,11:00,09/08/2023
0,60,2,13:00,09/08/2023
2,90,1,14:00,09/08/2023
4,75,3,15:30,09/08/2023
1,30,1,16:45,09/08/2023
6,45,0,17:30,09/08/2023
3,45,1,18:15,09/08/2023
5,90,2,19:00,09/08/2023
0,45,1,2:00,10/08/2023
2,75,1,3:15,10/08/2023
4,90,2,4:30,10/08/2023
1,30,1,5:45,10/08/2023
6,45,0,6:30,10/08/2023
3,45,1,7:15,10/08/2023
5,120,3,8:15,10/08/2023
0,60,2,13:00,10/08/2023
2,90,1,14:00,10/08/2023
4,75,3,15:30,10/08/2023
1,30,1,16:45,10/08/2023
6,45,0,17:30,10/08/2023
3,45,1,18:15,10/08/2023
5,90,2,19:00,10/08/2023
0,45,1,2:00,11/08/2023
2,75,1,3:15,11/08/2023
4,90,2,4:30,11/08/2023
1,30,1,5:45,11/08/2023
6,45,0,6:30,11/08/2023
3,45,1,7:15,11/08/2023
5,120,3,8:15,11/08/2023
0,60,2,13:00,11/08/2023
2,90,1,14:00,11/08/2023
4,75,3,15:30,11/08/2023
1,30,1,16:45,11/08/2023
6,45,0,17:30,11/08/2023
3,45,1,18:15,11/08/2023
5,90,2,19:00,11/08/2023
0,45,1,2:00,12/08/2023
2,75,1,3:15,12/08/2023
4,90,2,4:30,12/08/2023
1,30,1,5:45,12/08/2023
6,45,0,6:30,12/08/2023
3,45,1,7:15,12/08/2023
5,120,3,8:15,12/08/2023
0,60,2,13:00,12/08/2023
2,90,1,14:00,12/08/2023
4,75,3,15:30,12/08/2023
1,30,1,16:45,12/08/2023
6,45,0,17:30,12/08/2023
3,45,1,18:15,12/08/2023
5,90,2,19:00,12/08/2023
0,45,1,2:00,13/08/2023
2,75,1,3:15,13/08/2023
4,90,2,4:30,13/08/2023
1,30,1,5:45,13/08/2023
6,45,0,6:30,13/08/2023
3,45,1,7:15,13/08/2023
5,120,3,8:15,13/08/2023
0,60,2,13:00,13/08/2023
2,90,1,14:00,13/08/2023
4,75,3,15:30,13/08/2023
1,30,1,16:45,13/08/2023
6,45,0,17:30,13/08/2023
3,45,1,18:15,13/08/2023
5,90,2,19:00,13/08/2023
0,45,1,2:00,14/08/2023
2,75,1,3:15,14/08/2023
4,90,2,4:30,14/08/2023
1,30,1,5:45,14/08/2023
6,45,0,6:30,14/08/2023
3,45,1,7:15,14/08/2023
5,120,3,8:15,14/08/2023
0,60,2,13:00,14/08/2023
2,90,1,14:00,14/08/2023
4,75,3,15:30,14/08/2023
1,30,1,16:45,14/08/2023
6,45,0,17:30,14/08/2023
3,45,1,18:15,14/08/2023
5,90,2,19:00,14/08/2023
0,45,1,2:00,15/08/2023
2,75,1,3:15,15/08/2023
4,90,2,4:30,15/08/2023
1,30,1,5:45,15/08/2023
6,45,0,6:30,15/08/2023
3,45,1,7:15,15/08/2023
5,120,3,8:15,15/08/2023
0,60,2,13:00,15/08/2023
2,90,1,14:00,15/08/2023
4,75,3,15:30,15/08/2023
1,30,1,16:45,15/08/2023
6,45,0,17:30,15/08/2023
3,45,1,18:15,15/08/2023
5,90,2,19:00,15/08/2023
0,45,1,2:00,16/08/2023
2,75,1,3:15,16/08/2023
4,90,2,4:30,16/08/2023
1,30,1,5:45,16/08/2023
6,45,0,6:30,16/08/2023
3,45,1,7:15,16/08/2023
5,120,3,8:15,16/08/2023
0,60,2,13:00,16/08/2023
2,90,1,14:00,16/08/2023
4,75,3,15:30,16/08/2023
1,30,1,16:45,16/08/2023
6,45,0,17:30,16/08/2023
3,45,1,18:15,16/08/2023
5,90,2,19:00,16/08/2023
0,60,2,8:30,17/08/2023
2,90,1,9:30,17/08/2023
4,75,3,10:45,17/08/2023
1,30,1,12:00,17/08/2023
6,45,0,13:15,17/08/2023
3,45,1,14:30,17/08/2023
5,90,2,15:45,17/08/2023
0,45,1,17:00,17/08/2023
2,75,1,18:15,17/08/2023
4,90,2,19:30,17/08/2023
1,30,1,20:45,17/08/2023
6,45,0,22:00,17/08/2023
3,45,1,23:15,17/08/2023
5,120,3,0:30,18/08/2023
0,60,2,8:00,18/08/2023
2,90,1,9:15,18/08/2023
4,75,3,10:45,18/08/2023
1,30,1,12:00,18/08/2023
6,45,0,13:30,18/08/2023
3,45,1,14:45,18/08/2023
5,90,2,16:00,18/08/2023
0,45,1,17:15,18/08/2023
2,75,1,18:30,18/08/2023
4,90,2,19:45,18/08/2023
1,30,1,21:00,18/08/2023
6,45,0,22:15,18/08/2023
3,45,1,23:30,18/08/2023
5,120,3,0:45,19/08/2023
0,60,2,8:30,19/08/2023
2,90,1,9:45,19/08/2023
4,75,3,11:00,19/08/2023
1,30,1,12:15,19/08/2023
6,45,0,13:30,19/08/2023
3,45,1,14:45,19/08/2023
5,90,2,16:00,19/08/2023
0,45,1,17:15,19/08/2023
2,75,1,18:30,19/08/2023
4,90,2,19:45,19/08/2023
1,30,1,21:00,19/08/2023
6,45,0,22:15,19/08/2023
3,45,1,23:30,19/08/2023
5,120,3,0:45,20/08/2023
0,60,2,8:00,20/08/2023
2,90,1,9:15,20/08/2023
4,75,3,10:30,20/08/2023
1,30,1,11:45,20/08/2023
6,45,0,13:00,20/08/2023
3,45,1,14:15,20/08/2023
5,90,2,15:30,20/08/2023
0,45,1,16:45,20/08/2023
2,75,1,18:00,20/08/2023
4,90,2,19:15,20/08/2023
1,30,1,20:30,20/08/2023
6,45,0,21:45,20/08/2023
3,45,1,23:00,20/08/2023
5,120,3,0:15,21/08/2023
0,60,2,8:30,21/08/2023
2,90,1,9:45,21/08/2023
4,75,3,11:00,21/08/2023
1,30,1,12:15,21/08/2023
6,45,0,13:30,21/08/2023
3,45,1,14:45,21/08/2023
5,90,2,16:00,21/08/2023
0,45,1,17:15,21/08/2023
2,75,1,18:30,21/08/2023
4,90,2,19:45,21/08/2023
1,30,1,21:00,21/08/2023
6,45,0,22:15,21/08/2023
3,45,1,23:30,21/08/2023
5,120,3,0:45,22/08/2023
